ts,query,baseline_stability,baseline_conf,tuned_stability,tuned_conf,boosted_conf,did_boost,delta_stability,delta_conf,temp,top_terms
2026-02-07T21:18:18.774082+00:00,5. who works at gate 19,0.7002,0.4376,0.6965,0.4426,0.5533,True,-0.0037,0.1157,0.2051,"gate,will,role,who,works,rep,name,groups"
2026-02-07T21:18:18.802570+00:00,6. what is the game day hotline,0.6046,0.3552,0.7092,0.4779,0.5974,True,0.1047,0.2423,0.2051,"hotline,game,1230,the,hotlinetext,what,day,430"
2026-02-07T21:18:18.832657+00:00,7. what should i wear for tower service,0.5511,0.3281,0.5906,0.3782,0.4728,True,0.0395,0.1446,0.2051,"black,for,provide,wear,coliseum,credential,tower,service"
2026-02-07T21:18:18.863796+00:00,8. ada representatives,0.6561,0.4148,0.6679,0.4272,0.5340,True,0.0118,0.1192,0.2051,"ada,role,service,rep,sec,representatives,name"
2026-02-07T21:18:18.889376+00:00,9. collin,0.7014,0.3055,0.7011,0.3088,0.3860,True,-0.0002,0.0805,0.2051,"gate,rep,collin,role,name,turner"
2026-02-07T21:18:18.912339+00:00,10. how do i subscribe to text alerts,0.5176,0.2160,0.6154,0.3795,0.4743,True,0.0978,0.2584,0.2051,"text,213,game,ada,10.,alerts,subscribe,hotlinetext"
2026-02-07T21:18:18.931830+00:00,11. north supervisor location,0.6900,0.3833,0.7026,0.4203,0.5254,True,0.0126,0.1421,0.2051,"role,little,location,11.,supervisor,name,summer,north"
2026-02-07T21:18:18.950691+00:00,12. tunnel reps,0.6662,0.3566,0.6855,0.3810,0.4763,True,0.0193,0.1197,0.2051,"east,west,role,tunnel,rep,reps,name,12."
2026-02-07T21:18:18.976090+00:00,13. guest service representative,0.6161,0.4007,0.6137,0.4147,0.5184,True,-0.0024,0.1177,0.2051,"representative,ticket,gate,direct,duplicate,service,tickets,guest"
2026-02-07T21:18:18.998795+00:00,14. who is the president,0.6526,0.2229,0.6573,0.2258,0.2258,False,0.0046,0.0029,0.2051,"14.,gate,rocio,role,the,who,capt,rep"
2026-02-07T21:18:38.287977+00:00,15. who manages the tower1. who is daphne casuco,0.6817,0.4165,0.7140,0.5464,0.6830,True,0.0322,0.2665,0.2051,"manages,15.,daphne,black,coliseum,the,who,tower"
2026-02-07T21:18:38.311846+00:00,2. who are the tunnel 5 representatives,0.6375,0.3371,0.6592,0.3722,0.4652,True,0.0218,0.1282,0.2051,"east,gate,role,the,who,tunnel,rep,are"
2026-02-07T21:18:38.346940+00:00,3. who is the tower supervisor,0.6328,0.3936,0.6428,0.4512,0.5640,True,0.0100,0.1704,0.2051,"black,laughton,coliseum,adeline,the,tower,who,supervisor"
2026-02-07T21:18:38.374173+00:00,4. find jasmine,0.6171,0.2407,0.6360,0.2648,0.3310,True,0.0189,0.0903,0.2051,"gate,find,role,gierman,jasmine,rep,name"
2026-02-07T21:18:38.408304+00:00,5. who works at gate 19,0.7002,0.4376,0.6965,0.4426,0.5533,True,-0.0037,0.1157,0.2051,"gate,will,role,who,works,rep,name,groups"
2026-02-07T21:18:38.443664+00:00,6. what is the game day hotline,0.6046,0.3552,0.7092,0.4779,0.5974,True,0.1047,0.2423,0.2051,"hotline,game,1230,the,hotlinetext,what,day,430"
2026-02-07T21:18:38.474360+00:00,7. what should i wear for tower service,0.5511,0.3281,0.5906,0.3782,0.4728,True,0.0395,0.1446,0.2051,"black,for,provide,wear,coliseum,credential,tower,service"
2026-02-07T21:18:38.505421+00:00,8. ada representatives,0.6561,0.4148,0.6679,0.4272,0.5340,True,0.0118,0.1192,0.2051,"ada,role,service,rep,sec,representatives,name"
2026-02-07T21:18:38.532206+00:00,9. collin,0.7014,0.3055,0.7011,0.3088,0.3860,True,-0.0002,0.0805,0.2051,"gate,rep,collin,role,name,turner"
2026-02-07T21:18:38.559507+00:00,10. how do i subscribe to text alerts,0.5176,0.2160,0.6154,0.3795,0.4743,True,0.0978,0.2584,0.2051,"text,213,game,ada,10.,alerts,subscribe,hotlinetext"
2026-02-07T21:18:38.583920+00:00,11. north supervisor location,0.6900,0.3833,0.7026,0.4203,0.5254,True,0.0126,0.1421,0.2051,"role,little,location,11.,supervisor,name,summer,north"
2026-02-07T21:18:38.609210+00:00,12. tunnel reps,0.6662,0.3566,0.6855,0.3810,0.4763,True,0.0193,0.1197,0.2051,"east,west,role,tunnel,rep,reps,name,12."
2026-02-07T21:18:38.632073+00:00,13. guest service representative,0.6161,0.4007,0.6137,0.4147,0.5184,True,-0.0024,0.1177,0.2051,"representative,ticket,gate,direct,duplicate,service,tickets,guest"
2026-02-07T21:18:38.659288+00:00,14. who is the president,0.6526,0.2229,0.6573,0.2258,0.2258,False,0.0046,0.0029,0.2051,"14.,gate,rocio,role,the,who,capt,rep"
2026-02-07T21:20:42.570111+00:00,1. who is daphne casuco 2. who are the tunnel 5 representatives 3. who is the tower supervisor 4. find jasmine 5. who works at gate 19 6. what is the game day hotline 7. what should i wear for tower service 8. ada representatives 9. collin 10. how do i subscribe to text alerts 11. north supervisor location 12. tunnel reps 13. guest service representative 14. who is the president 15. who manages the tower,0.6089,0.3712,0.6074,0.3757,0.4696,True,-0.0015,0.0983,0.2051,"are,gate,11.,location,the,daphne,text,reps"
2026-02-07T21:21:50.533180+00:00,tailgate,0.5764,0.2874,0.5759,0.2902,0.2902,False,-0.0006,0.0028,0.2051,"the,gate,role,name,designated,tailgate,rep"
2026-02-07T21:24:03.457074+00:00,TAF TAILGATE - TOMMY’S TAVERN,0.5567,0.3258,0.5615,0.3311,0.4138,True,0.0048,0.0880,0.2051,"gate,and,1230,tailgate,lawn,disabled,tommy’s,tavern"
2026-02-07T21:26:10.562822+00:00,tailgate,0.5764,0.2874,0.5759,0.2902,0.2902,False,-0.0006,0.0028,0.2051,"rep,role,name,the,tailgate,gate,designated"
2026-02-07T21:26:16.837953+00:00,TAILGATE,0.5764,0.2874,0.5759,0.2902,0.2902,False,-0.0006,0.0028,0.2051,"rep,role,name,the,tailgate,gate,designated"
2026-02-07T21:26:19.958509+00:00,tommys,0.5030,0.2238,0.5045,0.2282,0.2282,False,0.0014,0.0044,0.2051,"carts,expecting,tickets,tommys,marketing,booths,out"
2026-02-07T21:26:31.148927+00:00,TAF,0.4975,0.1921,0.4970,0.1938,0.1938,False,-0.0006,0.0016,0.2051,"rep,role,wristband,name,taf,marketing,elevators"
2026-02-07T21:26:49.549346+00:00,TAF TAILGATE - TOMMY’S TAVERN,0.5567,0.3258,0.5615,0.3311,0.4138,True,0.0048,0.0880,0.2051,"disabled,1230,tavern,tommy’s,430,lawn,and,taf"
2026-02-07T21:26:55.730194+00:00,tailgates,0.5356,0.2756,0.5311,0.2807,0.2807,False,-0.0045,0.0050,0.2051,"direct,tailgates,tickets,gate,will,duplicate,ticket"
2026-02-07T21:27:01.038868+00:00,tailgate,0.5764,0.2874,0.5759,0.2902,0.2902,False,-0.0006,0.0028,0.2051,"rep,role,name,the,tailgate,gate,designated"
2026-02-07T21:27:03.658773+00:00,TAILGATE,0.5764,0.2874,0.5759,0.2902,0.2902,False,-0.0006,0.0028,0.2051,"rep,role,name,the,tailgate,gate,designated"
